City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition,Rain inches(last 3 hrs),Snow inches(last 3hrs)
0,Vila Velha,BR,-20.33,-40.29,82.0,74,75,14.99,broken clouds,0.0,0.0
1,Hithadhoo,MV,-0.6,73.08,84.81,72,36,7.27,scattered clouds,0.0,0.0
2,Port Alfred,ZA,-33.59,26.89,64.0,88,28,6.31,scattered clouds,0.0,0.0
3,Goderich,CA,43.75,-81.72,45.0,44,100,10.94,overcast clouds,0.0,0.0
4,Mahebourg,MU,-20.41,57.7,77.0,69,40,14.99,scattered clouds,0.0,0.0
5,Luderitz,NA,-26.65,15.16,64.4,72,0,17.22,clear sky,0.0,0.0
6,Olafsvik,IS,64.89,-23.71,43.57,89,98,23.69,light rain,0.24,0.0
7,Torbay,CA,47.67,-52.73,39.99,44,75,17.22,broken clouds,0.0,0.0
8,Okhansk,RU,57.72,55.39,42.8,88,100,13.42,light rain,0.0,0.0
9,Vila Franca Do Campo,PT,37.72,-25.43,64.4,68,20,10.29,few clouds,0.0,0.0
10,Doume,CM,4.23,13.45,75.6,71,94,3.67,light rain,0.75,0.0
11,Narwar,IN,25.65,77.9,88.92,14,8,11.39,clear sky,0.0,0.0
12,Chapais,CA,49.78,-74.85,23.0,53,90,8.05,light snow,0.0,0.0
13,Klaksvik,FO,62.23,-6.59,48.2,61,75,5.82,broken clouds,0.0,0.0
14,Bredasdorp,ZA,-34.53,20.04,64.4,45,94,6.93,overcast clouds,0.0,0.0
15,Amalapuram,IN,16.58,82.02,80.33,85,11,4.72,few clouds,0.0,0.0
16,Arraial Do Cabo,BR,-22.97,-42.03,77.0,69,75,9.17,broken clouds,0.0,0.0
17,Beisfjord,NO,68.38,17.6,37.4,59,75,16.11,broken clouds,0.0,0.0
18,Misratah,LY,32.38,15.09,62.6,74,0,12.3,clear sky,0.0,0.0
19,Saint George,US,37.1,-113.58,60.01,30,20,5.82,few clouds,0.0,0.0
20,Tasiilaq,GL,65.61,-37.64,34.93,93,100,21.36,moderate rain,11.61,0.0
21,Chicama,PE,-7.84,-79.15,69.8,83,20,11.41,mist,0.0,0.0
22,Dikson,RU,73.51,80.55,7.57,90,2,5.06,clear sky,0.0,0.0
23,Saint-Philippe,RE,-21.36,55.77,77.0,73,25,20.8,light rain,0.12,0.0
24,Mar Del Plata,AR,-38.0,-57.56,70.0,49,31,17.22,scattered clouds,0.0,0.0
25,Qaanaaq,GL,77.48,-69.36,21.31,85,14,3.58,few clouds,0.0,0.0
26,East London,ZA,-33.02,27.91,68.9,68,11,8.55,few clouds,0.0,0.0
27,Ponta Do Sol,PT,32.67,-17.1,64.0,66,41,5.99,light rain,0.64,0.0
28,Punta Arenas,CL,-53.15,-70.92,51.8,57,4,13.87,clear sky,0.0,0.0
29,Pacasmayo,PE,-7.4,-79.57,78.89,60,13,13.53,few clouds,0.0,0.0
30,Puerto Ayora,EC,-0.74,-90.35,78.8,88,90,3.36,moderate rain,0.0,0.0
31,Mangrol,IN,21.12,70.12,80.85,63,1,10.42,clear sky,0.0,0.0
32,Zykovo,RU,55.95,93.15,30.2,74,56,4.47,broken clouds,0.0,0.0
33,Port Elizabeth,ZA,-33.92,25.57,66.2,88,41,10.29,scattered clouds,0.0,0.0
34,Areosa,PT,41.72,-8.86,62.6,77,40,14.99,scattered clouds,0.0,0.0
35,Cayenne,GF,4.93,-52.33,78.8,100,40,4.7,scattered clouds,0.0,0.0
36,Ilulissat,GL,69.22,-51.1,33.8,55,40,9.17,scattered clouds,0.0,0.0
37,Malanje,AO,-9.54,16.34,69.01,67,83,1.83,moderate rain,5.08,0.0
38,Kavaratti,IN,10.57,72.64,84.97,68,0,7.43,clear sky,0.0,0.0
39,Fagernes,NO,60.99,9.23,34.65,68,69,1.16,broken clouds,0.0,0.0
40,Milton,US,34.13,-84.3,70.0,44,82,3.0,broken clouds,0.0,0.0
41,Coquimbo,CL,-29.95,-71.34,64.4,72,0,12.75,clear sky,0.0,0.0
42,Acarau,BR,-2.89,-40.12,83.07,80,97,5.21,light rain,1.16,0.0
43,Bambous Virieux,MU,-20.34,57.76,77.0,69,40,14.99,scattered clouds,0.0,0.0
44,Urucara,BR,-2.54,-57.76,83.7,85,67,2.8,moderate rain,6.05,0.0
45,Touros,BR,-5.2,-35.46,86.0,74,75,11.41,shower rain,0.0,0.0
46,Ushuaia,AR,-54.8,-68.3,55.4,50,22,11.41,few clouds,0.0,0.0
47,Saldanha,ZA,-33.01,17.94,61.03,75,48,18.41,scattered clouds,0.0,0.0
48,Marsala,IT,37.8,12.44,64.99,77,20,5.82,few clouds,0.0,0.0
49,Qobustan,AZ,40.08,49.41,53.6,76,0,18.34,clear sky,0.0,0.0
50,Cape Town,ZA,-33.93,18.42,64.99,63,42,11.41,scattered clouds,0.0,0.0
51,Mardin,TR,37.31,40.74,55.33,50,16,2.53,few clouds,0.0,0.0
52,Nantucket,US,41.28,-70.1,44.6,39,1,21.92,clear sky,0.0,0.0
53,Upernavik,GL,72.79,-56.15,27.81,91,7,1.9,clear sky,0.0,0.0
54,Yanam,IN,16.73,82.22,81.7,83,10,8.34,clear sky,0.0,0.0
55,Alta Floresta,BR,-9.88,-56.09,79.63,84,87,3.89,moderate rain,4.62,0.0
56,Petrokamenskoye,RU,57.72,60.65,39.07,72,92,7.76,overcast clouds,0.0,0.0
57,Lagos,NG,6.58,3.75,83.37,81,90,12.24,light rain,2.61,0.0
58,Port Blair,IN,11.67,92.75,83.57,73,56,1.79,broken clouds,0.0,0.0
59,Naifaru,MV,5.44,73.37,85.78,73,40,10.8,light rain,0.21,0.0
60,Saint-Jean-Port-Joli,CA,47.22,-70.27,35.67,78,91,13.06,light snow,0.0,0.3
61,Abha,SA,18.22,42.51,68.0,64,20,5.82,few clouds,0.0,0.0
62,Santa Barbara,US,34.42,-119.7,61.0,77,75,8.05,broken clouds,0.0,0.0
63,Khorixas,NA,-20.37,14.97,76.98,21,0,8.97,clear sky,0.0,0.0
64,Patacamaya,BO,-17.23,-67.92,53.33,15,85,6.71,light rain,0.28,0.0
65,Aasiaat,GL,68.71,-52.87,28.0,90,9,10.6,clear sky,0.0,0.0
66,Margate,GB,51.38,1.39,52.0,78,67,25.75,broken clouds,0.0,0.0
67,Borkenes,NO,68.77,16.17,37.4,59,75,16.11,broken clouds,0.0,0.0
68,Oxelosund,SE,58.67,17.1,51.8,25,96,17.22,overcast clouds,0.0,0.0
69,Port Hawkesbury,CA,45.62,-61.35,39.2,35,1,17.22,clear sky,0.0,0.0
70,Shakawe,BW,-18.37,21.85,76.69,31,39,3.56,scattered clouds,0.0,0.0
71,Snezhnogorsk,RU,69.19,33.25,35.6,80,75,8.95,broken clouds,0.0,0.0
72,Vestmannaeyjar,IS,63.44,-20.27,44.6,93,90,16.11,overcast clouds,0.0,0.0
73,Baracoa,CU,20.35,-74.5,81.32,73,28,14.34,scattered clouds,0.0,0.0
74,Oussouye,SN,12.48,-16.55,105.8,58,13,13.87,few clouds,0.0,0.0
75,Abu Dhabi,AE,24.47,54.37,78.01,69,0,9.17,clear sky,0.0,0.0
76,Lagoa,PT,39.05,-27.98,60.26,73,74,6.93,broken clouds,0.0,0.0
77,Jamestown,US,42.1,-79.24,35.01,55,90,11.41,light rain,0.0,0.0
78,Skibbereen,IE,51.55,-9.27,48.2,93,75,16.11,light rain,0.0,0.0
79,Longyearbyen,SJ,78.22,15.64,35.6,64,75,11.41,broken clouds,0.0,0.0
80,Pangnirtung,CA,66.15,-65.71,5.0,84,75,11.41,light snow,0.0,0.0
81,Kankakee,US,41.15,-87.87,33.8,93,90,16.11,light snow,0.0,0.0
82,Cidreira,BR,-30.18,-50.21,69.13,76,60,8.48,light rain,0.69,0.0
83,Kurgan,RU,55.45,65.33,46.33,86,87,12.44,light rain,0.62,0.0
84,Gravdal,NO,68.12,13.5,39.2,55,40,10.29,scattered clouds,0.0,0.0
85,Hermanus,ZA,-34.42,19.23,63.0,73,67,3.13,broken clouds,0.0,0.0
86,Melenki,RU,55.33,41.63,39.13,72,98,7.2,light rain,0.22,0.0
87,Qasigiannguit,GL,68.82,-51.19,33.8,55,40,9.17,scattered clouds,0.0,0.0
88,Castro,BR,-24.79,-50.01,73.47,26,5,1.68,clear sky,0.0,0.0
89,Vardo,NO,70.37,31.11,35.6,93,75,16.11,broken clouds,0.0,0.0
90,Busselton,AU,-33.65,115.33,54.0,90,71,8.37,broken clouds,0.0,0.0
91,Liverpool,GB,53.41,-2.98,62.01,54,13,13.87,few clouds,0.0,0.0
92,Gemena,CD,3.25,19.77,79.92,64,84,1.72,light rain,0.49,0.0
93,Nkongsamba,CM,4.95,9.94,71.13,77,87,1.39,moderate rain,5.1,0.0
94,Clyde River,CA,70.47,-68.59,10.4,85,40,23.04,shower rain,0.0,0.0
95,Comodoro Rivadavia,AR,-45.87,-67.5,77.0,47,100,9.17,overcast clouds,0.0,0.0
96,Rafai,CF,4.95,23.92,81.39,36,81,1.23,broken clouds,0.0,0.0
97,Saint-Francois,FR,46.42,3.91,71.6,40,100,5.82,light rain,0.11,0.0
98,Moose Factory,CA,51.26,-80.61,28.4,39,75,19.46,broken clouds,0.0,0.0
99,Villa Carlos Paz,AR,-31.42,-64.5,79.0,38,0,16.11,clear sky,0.0,0.0
100,Bonthe,SL,7.53,-12.51,83.3,73,28,15.55,light rain,1.48,0.0
101,Gazli,UZ,40.13,63.45,68.07,24,0,3.71,clear sky,0.0,0.0
102,Gornopravdinsk,RU,60.05,69.9,45.43,85,100,6.87,overcast clouds,0.0,0.0
103,Ostrovnoy,RU,68.05,39.51,32.45,96,80,16.91,light snow,0.0,0.33
104,Pitimbu,BR,-7.47,-34.81,87.8,62,75,6.93,broken clouds,0.0,0.0
105,Lebu,CL,-37.62,-73.65,65.59,75,99,8.7,light rain,0.15,0.0
106,Hamilton,US,39.18,-84.53,50.0,53,90,13.87,light rain,0.0,0.0
107,Sindor,RU,62.86,51.89,34.41,90,100,6.93,light snow,0.0,0.9
108,Dakar,SN,14.69,-17.44,84.2,69,14,24.16,few clouds,0.0,0.0
109,Narsaq,GL,60.92,-46.05,28.4,86,75,12.75,light shower snow,0.0,0.0
110,San Pedro,PH,14.35,121.02,84.2,74,75,9.17,broken clouds,0.0,0.0
111,Chuy,UY,-33.7,-53.46,69.98,60,29,5.57,scattered clouds,0.0,0.0
112,Mangochi,MW,-14.48,35.26,74.3,59,1,3.49,clear sky,0.0,0.0
113,Mus,TR,39.0,41.75,47.71,42,12,2.48,few clouds,0.0,0.0
114,Sayyan,YE,15.17,44.32,60.62,37,51,2.44,light rain,2.65,0.0
115,Salalah,OM,17.02,54.09,82.4,74,20,6.93,few clouds,0.0,0.0
116,Jumla,NP,29.27,82.18,49.14,30,68,1.23,light rain,0.17,0.0
117,Porto Novo,BJ,6.5,2.6,82.4,83,40,9.17,thunderstorm,0.0,0.0
118,Souillac,MU,-20.52,57.52,77.0,69,40,14.99,scattered clouds,0.0,0.0
119,Sillod,IN,20.3,75.65,88.14,19,37,4.81,scattered clouds,0.0,0.0
120,Cuenca,EC,-2.88,-78.98,66.2,59,90,8.05,overcast clouds,0.0,0.0
121,Kruisfontein,ZA,-34.0,24.73,56.73,85,42,3.0,scattered clouds,0.0,0.0
122,Sao Filipe,CV,14.9,-24.5,70.27,77,22,26.24,few clouds,0.0,0.0
123,Bobrovytsya,UA,50.75,31.38,53.6,23,20,8.95,few clouds,0.0,0.0
124,Namibe,AO,-15.2,12.15,73.53,69,11,8.66,few clouds,0.0,0.0
125,Notre-Dame-Du-Lac,CA,47.61,-68.8,37.0,53,84,3.0,light snow,0.0,0.54
126,Havelock,US,34.88,-76.9,71.6,28,1,8.05,clear sky,0.0,0.0
127,Los Llanos De Aridane,ES,28.66,-17.92,73.4,56,20,8.05,few clouds,0.0,0.0
128,Florianopolis,BR,-27.61,-48.5,80.6,42,20,13.87,few clouds,0.0,0.0
129,Husavik,IS,66.04,-17.34,51.8,53,81,23.04,broken clouds,0.0,0.0
130,Nanortalik,GL,60.14,-45.24,29.86,92,100,19.28,light snow,0.0,0.49
131,Carnarvon,AU,-24.87,113.63,77.0,88,36,4.7,scattered clouds,0.0,0.0
132,Khor,RU,47.89,134.95,42.24,72,30,4.74,scattered clouds,0.0,0.0
133,Ribeira Grande,PT,38.52,-28.7,64.4,68,20,11.41,few clouds,0.0,0.0
134,Consett,GB,54.85,-1.83,48.99,61,33,11.41,scattered clouds,0.0,0.0
135,Adrar,MR,20.5,-10.07,96.51,17,32,9.62,scattered clouds,0.0,0.0
136,Mezen,RU,65.85,44.24,32.83,96,100,6.08,light snow,0.0,0.14
137,Halifax,CA,44.65,-63.57,41.0,38,75,18.34,broken clouds,0.0,0.0
138,Natal,BR,-5.79,-35.21,86.0,74,75,11.41,shower rain,0.0,0.0
139,Zaltan,LY,32.95,11.87,67.5,70,0,15.01,clear sky,0.0,0.0
140,Churu,IN,28.3,74.95,83.26,27,18,8.41,few clouds,0.0,0.0
141,Zabol,AF,32.25,67.25,51.53,41,69,4.63,light rain,0.2,0.0
142,Dutlwe,BW,-23.98,23.9,71.26,18,5,1.39,clear sky,0.0,0.0
143,Tres Arroyos,AR,-38.37,-60.28,77.29,33,0,16.58,clear sky,0.0,0.0
144,Dubti,ET,11.74,41.09,91.99,41,62,11.83,broken clouds,0.0,0.0
145,Takab,IR,36.4,47.11,49.91,36,40,1.7,light rain,0.69,0.0
146,Ayagoz,KZ,47.97,80.44,44.6,50,0,9.8,clear sky,0.0,0.0
147,Victoria,HK,22.29,114.16,71.01,86,100,4.0,overcast clouds,0.0,0.0
148,Tabou,CI,4.42,-7.35,82.13,86,87,10.25,light rain,2.57,0.0
149,Dotnuva,LT,55.35,23.9,46.4,39,49,12.75,scattered clouds,0.0,0.0
150,Mahajanga,MG,-15.72,46.32,82.4,61,20,5.82,few clouds,0.0,0.0
151,Hofn,IS,64.25,-15.21,46.4,93,90,17.22,overcast clouds,0.0,0.0
152,Port-Cartier,CA,50.03,-66.87,30.99,39,75,13.87,broken clouds,0.0,0.0
153,Manavalakurichi,IN,8.13,77.3,87.8,70,20,4.7,haze,0.0,0.0
154,Prieska,ZA,-29.66,22.75,66.72,17,20,1.54,few clouds,0.0,0.0
155,Keti Bandar,PK,24.14,67.45,79.74,70,0,12.15,clear sky,0.0,0.0
156,Aksarka,RU,66.56,67.8,36.73,98,100,17.94,light rain,0.69,0.0
157,Saint-Augustin,CA,51.23,-58.65,29.3,89,94,15.3,overcast clouds,0.0,0.0
158,Bathsheba,BB,13.22,-59.52,87.8,58,40,20.8,scattered clouds,0.0,0.0
159,Belyy Yar,RU,53.6,91.39,35.6,69,58,4.47,broken clouds,0.0,0.0
160,Gao,ML,16.64,1.64,97.16,8,5,8.1,clear sky,0.0,0.0
161,Kasama,ZM,-10.21,31.18,65.01,62,25,5.59,scattered clouds,0.0,0.0
162,Mandera,KE,3.94,41.87,93.99,11,100,10.94,overcast clouds,0.0,0.0
163,Konin,PL,52.22,18.25,47.61,51,23,6.29,few clouds,0.0,0.0
164,San Rafael,AR,-34.62,-68.33,83.98,19,0,15.7,clear sky,0.0,0.0
165,Svetlyy,RU,54.67,20.13,44.6,74,40,15.66,scattered clouds,0.0,0.0
166,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,88.16,66,25,2.53,light rain,2.89,0.0
167,La Rochelle,FR,46.17,-1.15,69.8,49,19,13.87,few clouds,0.0,0.0
168,Bosconia,CO,9.97,-73.88,101.71,23,0,5.93,clear sky,0.0,0.0
169,Kazanskaya,RU,45.41,40.44,46.92,64,100,9.84,overcast clouds,0.0,0.0
170,Arlit,NE,18.74,7.39,95.14,8,0,5.97,clear sky,0.0,0.0
171,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,78,90,13.87,overcast clouds,0.0,0.0
172,Inhambane,MZ,-23.86,35.38,77.0,83,20,11.63,few clouds,0.0,0.0
173,Najran,SA,17.49,44.13,87.8,33,40,10.29,scattered clouds,0.0,0.0
174,Matagami,CA,49.75,-77.63,28.4,58,90,12.75,light snow,0.0,0.0
175,Cascais,PT,38.7,-9.42,64.4,68,40,9.17,scattered clouds,0.0,0.0
176,Korla,CN,41.76,86.15,61.43,33,43,6.13,scattered clouds,0.0,0.0
177,Japura,ID,-0.32,102.35,74.37,94,72,1.28,light rain,0.89,0.0
178,Iqaluit,CA,63.75,-68.51,10.4,60,40,4.7,scattered clouds,0.0,0.0
179,Moussoro,TD,13.64,16.49,89.15,8,0,10.47,clear sky,0.0,0.0
180,Luanda,AO,-8.84,13.23,82.4,83,40,10.29,scattered clouds,0.0,0.0
181,Balkanabat,TM,39.51,54.37,62.44,51,7,4.32,clear sky,0.0,0.0
182,Marawi,PH,8.0,124.29,65.86,67,7,4.36,clear sky,0.0,0.0
183,Bud,US,39.45,-86.18,46.0,87,90,8.05,overcast clouds,0.0,0.0
184,Kangasala,FI,61.46,24.08,43.0,44,93,19.46,overcast clouds,0.0,0.0
185,Itarema,BR,-2.92,-39.92,82.51,81,98,6.08,light rain,1.02,0.0
186,Tessalit,ML,20.2,1.01,95.41,11,38,6.87,scattered clouds,0.0,0.0
187,Gamba,GA,-2.65,10.0,78.87,83,100,6.78,overcast clouds,0.0,0.0
188,Limoeiro Do Ajuru,BR,-1.9,-49.38,80.71,91,99,2.37,moderate rain,5.91,0.0
189,Bartica,GY,6.4,-58.62,89.6,49,75,9.17,broken clouds,0.0,0.0
190,Roald,NO,62.58,6.13,44.6,52,53,9.17,broken clouds,0.0,0.0
191,Buraydah,SA,26.33,43.98,86.0,33,40,12.75,scattered clouds,0.0,0.0
192,Sarkand,KZ,45.41,79.92,49.3,42,38,4.85,scattered clouds,0.0,0.0
193,Naryan-Mar,RU,67.67,53.09,28.71,97,28,9.6,scattered clouds,0.0,0.0
194,San Juan,AR,-31.54,-68.54,85.08,20,0,8.57,clear sky,0.0,0.0
195,Nador,MA,35.17,-2.93,64.4,82,40,3.36,scattered clouds,0.0,0.0
196,Mogadishu,SO,2.04,45.34,84.97,73,61,11.03,broken clouds,0.0,0.0
197,Inirida,CO,3.87,-67.92,87.75,55,89,3.42,overcast clouds,0.0,0.0
198,Awjilah,LY,29.11,21.29,71.76,22,0,6.2,clear sky,0.0,0.0
199,Saurimo,AO,-9.66,20.39,69.6,66,82,3.22,light rain,1.73,0.0
200,Talnakh,RU,69.49,88.4,26.6,79,98,24.61,overcast clouds,0.0,0.0
201,Goundam,ML,16.41,-3.67,102.92,9,38,5.7,scattered clouds,0.0,0.0
202,Caxito,AO,-8.58,13.66,82.4,83,40,10.29,scattered clouds,0.0,0.0
203,Ponnani,IN,10.77,75.93,83.32,79,67,3.87,broken clouds,0.0,0.0
204,Faya,SA,18.39,42.45,68.0,64,20,5.82,few clouds,0.0,0.0
205,Santa Catalina,PH,9.33,122.86,80.71,77,22,7.49,few clouds,0.0,0.0
206,Totness,SR,5.88,-56.32,84.51,64,16,11.01,few clouds,0.0,0.0
207,Iquitos,PE,-3.75,-73.25,77.0,83,90,6.93,overcast clouds,0.0,0.0
208,At-Bashi,KG,41.17,75.81,42.31,25,91,1.57,overcast clouds,0.0,0.0
209,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,83.01,82,85,3.04,moderate rain,3.38,0.0
210,Pisco,PE,-13.7,-76.22,77.0,65,54,9.17,broken clouds,0.0,0.0
211,Palora,EC,-1.7,-77.93,69.8,88,90,3.36,overcast clouds,0.0,0.0
212,Nouadhibou,MR,20.93,-17.03,73.4,60,46,23.04,scattered clouds,0.0,0.0
213,Severnoye,RU,56.35,78.36,45.07,86,21,7.9,few clouds,0.0,0.0
214,Ugoofaaru,MV,5.67,73.0,85.98,72,30,10.49,scattered clouds,0.0,0.0
215,Nanyuki,KE,0.02,37.07,61.38,52,100,7.11,moderate rain,3.62,0.0
216,Bhavnagar,IN,21.77,72.15,90.19,30,26,12.33,scattered clouds,0.0,0.0
217,Pawai,IN,24.27,80.17,90.07,14,43,2.53,scattered clouds,0.0,0.0
218,Chortomlyk,UA,47.62,34.14,51.91,58,100,6.71,overcast clouds,0.0,0.0
219,Caibarien,CU,22.52,-79.47,91.4,49,40,12.75,scattered clouds,0.0,0.0
220,Yabrud,SY,33.97,36.66,60.8,67,75,13.87,broken clouds,0.0,0.0
221,Quatre Cocos,MU,-20.21,57.76,77.0,69,40,14.99,scattered clouds,0.0,0.0
222,Havoysund,NO,71.0,24.66,39.2,79,75,19.46,broken clouds,0.0,0.0
223,San Cristobal,VE,7.77,-72.22,84.2,62,40,5.82,smoke,0.0,0.0
224,Bilma,NE,18.69,12.92,89.69,10,0,8.81,clear sky,0.0,0.0
225,Elizabeth City,US,36.29,-76.25,66.99,42,1,10.29,clear sky,0.0,0.0
226,Udala,ES,43.08,-2.51,59.0,72,75,9.17,broken clouds,0.0,0.0
227,Kalmar,SE,56.66,16.36,53.6,20,12,10.29,few clouds,0.0,0.0
228,Richards Bay,ZA,-28.78,32.04,71.35,75,2,9.57,clear sky,0.0,0.0
229,Saint-Joseph,RE,-21.37,55.62,77.0,73,21,20.8,light rain,0.11,0.0
230,Iskateley,RU,67.68,53.15,28.62,97,28,9.64,scattered clouds,0.0,0.0
231,Georgetown,MY,5.41,100.34,84.2,88,20,3.36,thunderstorm,0.0,0.0
232,Jais,IN,26.25,81.53,87.46,17,64,2.73,broken clouds,0.0,0.0
233,Tibacuy,CO,4.35,-72.46,94.53,34,80,2.98,broken clouds,0.0,0.0
234,Loharu,IN,28.45,75.82,79.74,36,32,11.61,scattered clouds,0.0,0.0
235,Cockburn Town,TC,21.46,-71.14,79.12,73,1,15.93,clear sky,0.0,0.0
236,Grand Gaube,MU,-20.01,57.66,77.0,69,40,14.99,scattered clouds,0.0,0.0
237,Norden,DE,53.6,7.2,50.0,74,25,14.0,scattered clouds,0.0,0.0
238,Ozieri,IT,40.59,9.0,75.2,68,100,10.29,overcast clouds,0.0,0.0
239,Soyo,AO,-6.13,12.37,81.57,82,35,7.29,scattered clouds,0.0,0.0
240,La Palma,US,33.85,-118.05,62.01,67,75,4.7,broken clouds,0.0,0.0
241,Valence,ES,39.47,-0.38,68.0,64,20,1.12,few clouds,0.0,0.0
242,Sorland,NO,67.67,12.69,39.2,55,40,10.29,scattered clouds,0.0,0.0
243,Vilhena,BR,-12.74,-60.15,82.58,44,60,5.88,broken clouds,0.0,0.0
244,Krasnoselkup,RU,65.7,82.47,34.72,94,100,15.19,overcast clouds,0.0,0.0
245,Mamou,GN,10.5,-12.0,91.33,28,35,8.48,scattered clouds,0.0,0.0
246,Grindavik,IS,63.84,-22.43,48.2,93,90,26.4,light intensity drizzle,0.0,0.0
247,Matay,EG,28.42,30.78,73.83,33,0,17.22,clear sky,0.0,0.0
248,Kismayo,SO,-0.36,42.55,84.36,76,97,10.63,light rain,0.24,0.0
249,Talara,PE,-4.58,-81.27,87.8,55,2,16.11,clear sky,0.0,0.0
250,Dwarka,IN,22.24,68.97,80.8,75,0,13.87,clear sky,0.0,0.0
251,Atbasar,KZ,51.8,68.33,53.67,38,99,16.73,overcast clouds,0.0,0.0
252,Mikhaylovka,RU,50.06,43.24,46.0,60,53,7.96,broken clouds,0.0,0.0
253,Parry Sound,CA,45.35,-80.03,37.99,32,70,10.07,light snow,0.0,0.11
254,Puri,IN,19.8,85.85,82.4,83,20,11.41,haze,0.0,0.0
255,Viedma,AR,-40.81,-63.0,85.23,27,73,21.16,broken clouds,0.0,0.0
256,Thinadhoo,MV,0.53,72.93,85.82,68,15,6.51,few clouds,0.0,0.0
257,Zaporizhzhya,UA,47.82,35.18,57.99,37,100,13.42,overcast clouds,0.0,0.0
258,Rochester,US,43.15,-77.62,42.01,39,100,3.0,overcast clouds,0.0,0.0
259,Artvin,TR,41.17,41.83,51.8,81,31,5.82,scattered clouds,0.0,0.0
260,Dokka,NO,60.84,10.06,36.0,62,72,4.0,broken clouds,0.0,0.0
261,Chitungwiza,ZW,-18.01,31.08,75.2,53,96,8.05,overcast clouds,0.0,0.0
262,Oriximina,BR,-1.77,-55.87,85.66,64,83,3.02,light rain,0.13,0.0
